Student Name,Roll,Gender,Bangla,English,Math,Biology
Jane Miller,151,Female,,,,80
Emily Martinez,61,Female,,100.0,,
Alex Brown,114,Female,33,26.0,,48
Sarah Brown,174,Female,,36.0,67.0,
Jane Davis,178,Female,18,,69.0,50
Emily Rodriguez,150,Male,,,,82
Sarah Williams,35,Male,41,69.0,15.0,
Chris Martinez,84,Female,,6.0,36.0,34
Jane Smith,44,Male,14,80.0,,76
David Williams,71,Female,99,,19.0,43
Jane Martinez,178,Male,,88.0,66.0,52
Jane Garcia,124,Male,,67.0,,
Michael Jones,2,Male,,48.0,,
Alex Garcia,4,Male,49,5.0,84.0,18
John Jones,194,Male,76,,91.0,29
John Williams,41,Male,99,,,
John Smith,16,Male,,,75.0,8
John Brown,10,Female,,,,11
John Rodriguez,177,Male,,,90.0,
Michael Brown,169,Female,27,99.0,,62
Jane Rodriguez,127,Female,16,88.0,28.0,
David Smith,144,Male,39,,,38
Emily Garcia,140,Male,89,,,
Laura Jones,147,Female,,86.0,41.0,
Jane Williams,122,Male,88,,22.0,
Laura Miller,55,Male,45,97.0,61.0,
Chris Rodriguez,131,Female,,,,
Chris Garcia,177,Male,,68.0,,
David Garcia,55,Male,88,29.0,,
Alex Jones,164,Male,76,70.0,84.0,
Chris Garcia,76,Female,58,35.0,,78
Michael Davis,180,Male,,,,
Sarah Smith,69,Female,,72.0,,
Alex Rodriguez,78,Female,,,,
Laura Rodriguez,155,Female,42,84.0,,85
Emily Smith,160,Male,,,,
Michael Williams,189,Male,,28.0,72.0,
Chris Miller,9,Male,74,54.0,71.0,
Sarah Williams,12,Female,,21.0,63.0,92
John Jones,86,Male,26,,,
Katie Brown,171,Female,,,15.0,
Sarah Martinez,191,Female,,,28.0,
John Brown,115,Female,53,59.0,10.0,
Jane Williams,78,Female,,43.0,,
David Garcia,71,Female,,79.0,94.0,
Chris Johnson,130,Male,60,24.0,,44
Katie Miller,34,Female,,,,35
John Martinez,58,Male,,,,
Alex Williams,196,Female,B,10.0,87.0,99
Katie Brown,106,Male,,6.0,,83
Chris Martinez,2,Female,91,49.0,39.0,68
Alex Williams,85,Male,,95.0,,
Michael Miller,188,Female,,13.0,,
Katie Johnson,48,Female,55,73.0,,
Laura Jones,188,Male,,,15.0,
John Davis,80,Female,71,48.0,37.0,B
Chris Williams,164,Male,,,62.0,9
Sarah Jones,134,Female,,,60.0,60
Laura Brown,166,Male,2,29.0,57.0,3
David Brown,144,Male,,96.0,,
Emily Davis,43,Female,48,12.0,,80
Laura Smith,98,Female,,,73.0,38
David Garcia,142,Female,65,,,61
Laura Jones,114,Female,,,,44
David Johnson,186,Female,95,0.0,68.0,
Jane Smith,75,Male,,100.0,59.0,
Chris Williams,181,Female,,,,
Jane Jones,57,Female,,,100.0,
Chris Jones,59,Male,,,,
Jane Smith,150,Female,79,72.0,62.0,
David Jones,153,Female,,,,
Michael Jones,120,Male,,,77.0,
Chris Rodriguez,16,Female,,75.0,35.0,
Sarah Williams,170,Male,84,12.0,,
Laura Smith,85,Female,,4.0,,
Emily Garcia,104,Female,,,,89
Katie Garcia,134,Male,27,61.0,53.0,
Emily Martinez,85,Male,,67.0,98.0,
Laura Garcia,48,Male,31,23.0,,
Alex Rodriguez,134,Female,98,,,
Chris Rodriguez,174,Male,,86.0,43.0,
Katie Martinez,34,Male,78,,76.0,
Alex Johnson,113,Female,20,45.0,16.0,33
David Smith,57,Male,22,12.0,,
Michael Miller,109,Female,,,,
Michael Garcia,26,Female,,51.0,8.0,66
Jane Johnson,49,Female,,,,
David Rodriguez,57,Male,,85.0,39.0,100
Chris Martinez,10,Female,,,,
Michael Brown,91,Female,,,,40
Jane Smith,173,Male,,,8.0,
Alex Miller,159,Male,,7.0,,
Alex Rodriguez,114,Female,88,,,33
Alex Miller,65,Male,,,26.0,81
Chris Garcia,67,Female,,,52.0,
Sarah Rodriguez,174,Female,,77.0,77.0,57
Chris Garcia,177,Male,,,98.0,79
Katie Johnson,149,Female,98,,67.0,
Katie Johnson,18,Male,,,75.0,
Alex Jones,126,Female,,49.0,88.0,50
